Date(UTC),Time(UTC),Distance(km),Phase
2008/6/3,13:06,357249,New
2008/12/12,21:46,356564,Full
2009/7/21,20:08,357460,New
2010/1/30,9:12,356592,Full
2010/9/8,3:52,357187,New
2011/3/19,19:15,356574,Full
2011/10/26,12:20,357048,New
2012/5/6,3:40,356955,Full
2012/12/12,23:08,357071,New
2013/6/23,11:18,356991,Full
2014/1/1,20:53,356926,New
2014/8/10,17:49,356896,Full
2015/2/19,7:23,356998,New
2015/9/28,1:52,356878,Full
2016/4/7,17:30,357166,New
2016/11/14,11:28,356510,Full
2017/5/26,1:15,357210,New
2018/1/1,21:56,356567,Full
2018/7/13,8:19,357433,New
2019/2/19,9:10,356763,Full
2019/8/30,15:47,357178,New
2020/4/7,18:15,356909,Full
2020/10/16,23:40,356913,New
2021/5/26,1:57,357314,Full
2021/12/4,9:58,356795,New
2022/7/13,9:12,357267,Full
2023/1/21,20:51,356569,New
2023/8/30,16:01,357185,Full
2024/3/10,6:58,356895,New
2024/10/17,0:58,357179,Full
2025/4/27,16:12,357118,New
2025/11/5,22:34,356830,Full
2026/6/14,23:14,357195,New
2026/12/24,8:38,356648,Full
2027/8/2,6:19,357359,New
2028/2/10,20:02,356677,Full
2028/9/18,14:14,357044,New
2029/3/30,5:47,356661,Full
2029/11/5,23:02,356897,New
2030/5/17,13:55,357017,Full
2030/12/24,10:03,356924,New
2031/7/4,21:24,357009,Full
2032/2/10,20:42,356945,New
2032/8/21,3:58,356879,Full
2033/3/1,18:10,357186,New
2033/10/8,12:19,356826,Full
2034/4/19,3:58,357340,New
2034/11/25,22:13,356446,Full
2035/6/6,11:28,357358,New
2036/1/13,8:49,356518,Full
2036/7/23,18:28,357535,New
2037/3/1,19:52,356709,Full
2037/9/10,2:04,357230,New
2038/4/19,4:37,356839,Full
2038/10/28,10:14,356944,New
2039/6/6,12:06,357207,Full
2039/12/15,20:49,356818,New
2040/7/23,19:19,357113,Full
2041/2/1,7:41,356609,New
2041/9/10,2:21,357003,Full
2042/3/21,17:34,356943,New
2042/10/28,11:38,356978,Full
2043/5/9,2:30,357135,New
2043/12/15,22:09,356772,Full
2044/6/25,9:21,357175,New
2045/1/3,19:33,356770,Full
2045/8/12,16:30,357291,New
2046/2/21,6:51,356801,Full
2046/9/30,0:39,356936,New
2047/4/10,16:15,356783,Full
2047/11/17,9:46,356786,New
2048/5/28,0:07,357114,Full
2049/1/3,20:57,356818,New
2049/7/15,7:29,357059,Full
2050/2/21,7:26,356853,New
2050/9/1,14:11,356894,Full
2051/4/10,16:33,357335,New
2051/10/19,22:50,356809,Full
2052/5/28,0:38,357491,New
2052/12/6,9:01,356421,Full
2053/7/15,7:09,357521,New
2054/1/23,19:41,356511,Full
2054/9/1,14:46,357578,New
2055/3/13,6:30,356694,Full
2055/10/19,23:36,357253,New
2056/4/29,14:55,356807,Full
2056/11/7,20:52,357014,New
2057/6/16,22:14,357136,Full
2057/12/26,7:42,356884,New
2058/8/4,5:28,356995,Full
2059/2/12,18:30,356693,New
2059/9/21,12:43,356860,Full
2060/4/1,4:06,357029,New
2060/11/7,22:22,356817,Full
2061/5/19,12:44,357187,New
2061/12/26,9:03,356620,Full
2062/7/6,19:28,357189,New
2063/1/15,6:28,356934,Full
2063/8/24,2:43,357257,New
2064/3/3,17:38,356967,Full
2064/10/10,11:07,356866,New
2065/4/21,2:40,356946,Full
2065/11/27,20:33,356717,New
2066/6/8,10:18,357246,Full
2067/1/15,7:51,356755,New
2067/7/26,17:35,357146,Full
2068/3/3,18:08,356800,New
2068/9/12,0:26,356947,Full
2069/4/21,2:57,357265,New
2069/10/30,9:25,356830,Full
2070/6/8,10:49,357374,New
2070/12/17,19:50,356438,Full
2071/7/26,17:20,357365,New
2072/2/4,6:32,356545,Full
2072/9/12,1:09,357381,New
2073/3/23,17:04,356718,Full
2073/10/30,10:18,357039,New
2074/5/11,1:08,356811,Full
2074/12/17,20:27,357119,New
2075/6/28,8:19,357099,Full
2076/1/6,18:37,356991,New
2076/8/14,15:36,356912,Full
2077/2/23,5:16,356819,New
2077/10/1,23:07,356751,Full
2078/4/12,14:36,357152,New
2078/11/19,9:07,356693,Full
2079/5/30,22:57,357271,New
2080/1/6,19:56,356505,Full
2080/7/17,5:34,357235,New
2081/2/23,6:24,356866,Full
2081/9/3,12:59,357256,New
2082/4/12,16:03,357107,Full
2082/10/21,21:38,356833,New
2083/5/2,13:04,357143,Full
2083/12/9,7:21,356689,New
2084/6/18,20:28,357412,Full
2085/1/25,18:43,356735,New
2085/9/3,13:51,357234,Full
2086/3/15,4:44,356787,New
2086/9/23,10:45,357034,Full
2087/5/2,13:16,357228,New
2087/11/10,20:05,356887,Full
2088/6/18,20:57,357289,New
2088/12/28,6:43,356494,Full
2089/8/6,3:31,357240,New
2090/2/14,17:20,356619,Full
2090/9/23,11:35,357219,New
2091/4/4,3:35,356779,Full
2091/11/10,21:00,356863,New
2092/5/21,11:20,356850,Full
2092/12/28,7:23,356964,New
2093/7/8,18:25,357098,Full
2094/1/17,5:32,357142,New
2094/8/26,1:47,356866,Full
2095/3/6,16:00,356985,New
2095/10/13,9:36,356683,Full
2096/4/23,1:02,357313,New
2096/11/29,19:55,356611,Full
2097/6/10,9:08,357391,New
2098/1/17,6:48,356435,Full
2098/7/28,15:42,357313,New
2099/3/6,17:05,356801,Full
2099/9/14,23:17,357289,New
2100/4/24,2:24,357012,Full
2100/11/2,8:13,356838,New
2101/6/11,9:23,357121,Full
2101/12/20,18:12,356703,New
2102/7/29,16:27,357306,Full
2103/2/7,5:33,356756,New
2103/9/16,0:13,357027,Full
2104/3/26,15:17,356814,New
2104/11/2,8:55,356965,Full
2105/5/13,23:33,357228,New
2105/11/22,6:49,356984,Full
2106/7/1,7:05,357238,New
2107/1/9,17:36,356593,Full
2107/8/18,13:42,357150,New
2108/2/27,4:06,356732,Full
2108/10/4,22:03,357092,New
2109/4/15,14:01,356877,Full
2109/11/22,7:46,356728,New
2110/6/2,21:29,356924,Full
2111/1/9,18:17,356851,New
2111/7/21,4:30,357130,Full
2112/2/27,5:17,357072,New
2112/9/6,12:00,356854,Full
2113/3/18,2:43,357192,New
2113/10/24,20:08,356651,Full
2114/5/5,11:27,357507,New
2114/12/12,6:45,356567,Full
2115/6/22,19:20,357543,New
2116/1/29,17:39,356403,Full
2116/8/9,1:52,357425,New
2117/3/18,3:42,356771,Full
2117/9/26,9:39,357355,New
2118/5/5,12:41,356949,Full
2118/11/13,18:52,356880,New
2119/6/22,19:29,357025,Full
2120/1/1,5:04,356759,New
2120/8/9,2:36,357167,Full
2121/2/17,16:21,356819,New
2121/9/26,10:37,356855,Full
2122/4/7,1:45,356877,New
2122/11/13,19:40,356791,Full
2123/5/25,9:46,357261,New
2124/1/1,6:55,356856,Full
2124/7/11,17:11,357220,New
2125/1/20,4:30,356732,Full
2125/8/28,23:55,357093,New
2126/3/9,14:51,356885,Full
2126/10/16,8:33,357001,New
2127/4/27,0:25,357010,Full
2127/12/3,18:33,356633,New
2128/6/13,7:37,357033,Full
2129/1/20,5:09,356778,New
2129/7/31,14:37,357196,Full
2130/3/9,15:57,356996,New
2130/9/17,22:16,356878,Full
2131/4/27,0:23,357188,New
2131/11/5,6:43,356659,Full
2132/6/13,7:49,357556,New
2132/12/22,17:37,356568,Full
2133/7/31,15:04,357430,New
2134/2/9,4:27,356416,Full
2134/9/17,22:20,357328,New
2135/3/29,14:14,356781,Full
2135/11/5,7:54,357274,New
2136/5/15,22:54,356925,Full
2136/11/24,5:35,356961,New
2137/7/3,5:34,356965,Full
2138/1/11,15:58,356856,New
2138/8/20,12:47,357065,Full
2139/3/1,3:07,356922,New
2139/10/7,21:03,356721,Full
2140/4/17,12:11,356978,New
2140/11/24,6:27,356658,Full
2141/6/4,19:58,357329,New
2142/1/11,17:49,356725,Full
2142/7/23,3:18,357237,New
2143/3/1,4:09,356810,Full
2143/9/9,10:11,357073,New
2144/3/20,1:32,357079,Full
2144/10/26,19:07,356949,New
2145/5/7,10:46,357181,Full
2145/12/14,5:22,356581,New
2146/6/24,17:45,357175,Full
2147/1/31,16:01,356748,New
2147/8/12,0:45,357295,Full
2148/3/20,2:33,356958,New
2148/9/28,8:36,356935,Full
2149/5/7,10:40,357129,New
2149/11/15,17:23,356702,Full
2150/6/24,17:59,357454,New
2151/1/3,4:29,356606,Full
2151/8/12,1:16,357277,New
2152/2/20,15:13,356467,Full
2152/9/28,8:46,357149,New
2153/4/9,0:42,356826,Full
2153/11/15,18:40,357081,New
2154/5/27,9:05,356932,Full
2155/1/3,5:19,356929,New
2155/7/14,15:38,356938,Full
2156/1/23,2:52,356995,New
2156/8/30,23:00,356994,Full
2157/3/11,13:49,357065,New
2157/10/18,7:33,356621,Full
2158/4/28,22:34,357113,New
2158/12/5,17:15,356562,Full
2159/6/16,6:08,357428,New
2160/1/23,4:42,356633,Full
2160/8/2,13:26,357286,New
2161/3/11,14:48,356722,Full
2161/9/19,20:29,357087,New
2162/4/28,23:28,357179,Full
2162/11/7,5:45,356935,New
2163/6/16,7:06,357232,Full
2163/12/25,16:12,356571,New
2164/8/2,13:33,357235,Full
2165/2/11,2:49,356759,New
2165/9/19,21:34,357251,Full
2166/3/31,13:05,356957,New
2166/11/7,6:51,356958,Full
2167/5/18,20:54,357104,New
2167/11/27,4:07,356785,Full
2168/7/5,4:06,357383,New
2169/1/13,15:23,356686,Full
2169/8/22,11:29,357157,New
2170/3/3,1:56,356561,Full
2170/10/9,19:16,357007,New
2171/4/20,11:07,356911,Full
2171/11/27,5:28,356928,New
2172/6/6,19:13,356979,Full
2173/1/13,16:13,356795,New
2173/7/25,1:42,356948,Full
2174/2/2,13:47,357176,New
2174/9/11,9:15,356963,Full
2175/3/23,0:30,357247,New
2175/10/29,18:05,356563,Full
2176/5/9,8:55,357286,New
2176/12/16,4:05,356509,Full
2177/6/26,16:19,357561,New
2178/2/2,15:32,356582,Full
2178/8/13,23:35,357369,New
2179/3/23,1:21,356673,Full
2179/10/1,6:51,357137,New
2180/5/9,9:43,357102,Full
2180/11/17,16:27,356961,New
2181/6/26,17:12,357109,Full
2182/1/5,3:03,356605,New
2182/8/13,23:43,357078,Full
2183/2/22,13:35,356812,New
2183/10/1,8:01,357060,Full
2184/4/10,23:32,356995,New
2184/11/17,17:37,356759,Full
2185/5/29,7:05,357114,New
2185/12/7,14:55,356905,Full
2186/7/16,14:14,357344,New
2187/1/25,2:17,356805,Full
2187/9/2,21:42,357072,New
2188/3/13,12:36,356691,Full
2188/10/20,5:47,356901,New
2189/4/30,21:28,357029,Full
2189/12/7,16:18,356816,New
2190/6/18,5:20,357058,Full
2191/1/25,3:04,356701,New
2191/8/5,11:48,356992,Full
2192/3/13,13:08,357130,New
2192/9/21,19:34,356964,Full
2193/4/30,22:08,357345,New
2193/11/9,4:42,356540,Full
2194/6/18,5:00,357487,New
2194/12/27,14:57,356495,Full
2195/8/5,12:12,357641,New
2196/2/14,2:21,356569,Full
2196/9/21,20:08,357338,New
2197/4/2,11:50,356658,Full
2197/10/11,17:17,357220,New
2198/5/20,19:57,357057,Full
2198/11/29,3:11,357023,New
2199/7/8,3:17,357019,Full
2200/1/16,13:55,356681,New
2200/8/25,9:55,356956,Full
