URL,Tweet Content
https://twitter.com/ujiiiiiiii2/status/1408157783308992512,“https://t.co/YQGGItAbG7”
https://twitter.com/ujiiiiiiii2/status/1408242752232456196,“@minyoonation Pen cubit pipi nya🥺”
https://twitter.com/ujiiiiiiii2/status/1408338710953746440,"“@minyoonation Aku ngedit foto prewedd minyoon :) 

Ku kirim ke sini boleh ndak?”"
https://twitter.com/ujiiiiiiii2/status/1408339236110049287,“failed :(”
https://twitter.com/ujiiiiiiii2/status/1408339729695731715,"“@minyoonation Aku ngedit foto prewedd minyoon :) 

Ku kirim ke sini boleh ndak?”"
https://twitter.com/ujiiiiiiii2/status/1408344407351255040,"“&lt; SUGA @ Photo Booth &gt;

🎵 https://t.co/aaedCl5NJ6
💽 2021.07.09. 1PM (KST) | 12AM (ET)

#BTS #방탄소년단 #BTS_Butter https://t.co/hMwIgIukE2”"
https://twitter.com/ujiiiiiiii2/status/1408344438233985025,"“&lt; Jimin @ Photo Booth &gt;

🎵 https://t.co/aaedCl5NJ6
💽 2021.07.09. 1PM (KST) | 12AM (ET)

#BTS #방탄소년단 #BTS_Butter https://t.co/TZieKTHYlD”"
https://twitter.com/ujiiiiiiii2/status/1408403305412259848,"“Short AU ─ Minyoon

Jimin suka sekali dengan dance dia juga mengajar dance untuk adik tingkatnya. Tapi Yoongi ga suka, Jimin jadi banyak penggemarnya. Makanya dia cari selingkuhan baru”"
https://twitter.com/ujiiiiiiii2/status/1408405421467979779,"“Short AU ─ Minyoon

Jimin bosen di karantina di rumah, karena bosen dia iseng pilih nomor random buat di Terror. Tapi ternyata salah satu korbannya bikin dia salah tingkah alias baper karena terpesona.”"
https://twitter.com/ujiiiiiiii2/status/1408406612029542401,"“Minyoon Au 

𝖋𝖊𝖊𝖑𝖎𝖓𝖌𝖘 𝖆𝖓𝖉 𝖕𝖆𝖎𝖓𝖙𝖎𝖓𝖌

Yoongi adalah pelukis terkenal di Seoul. Dirinya juga orang yang keras dan tak percaya dengan sebuah mitos, hingga suatu malam dia melanggar nya. Apa yg terjadi?”"
https://twitter.com/ujiiiiiiii2/status/1408408600595222529,"“Short AU ─ Minyoon

Lewat mulu di tl! Yoongi kan jadi pengen juga, kira kira ada ga ya mutual yang ngirimin buat Yoongi?”"
https://twitter.com/ujiiiiiiii2/status/1408412382888566787,"“Drabble ─ Minyoon Au

Isinya random tentang Yoongi dan Jimin yang sedang memadu kasih. Entah itu asam atau manis. Yang sekarang maupun yg lalu, intinya mereka saling mencintai.”"
https://twitter.com/ujiiiiiiii2/status/1408414429146800131,"“Minyoon au — 𝐂𝐏𝟖𝟑𝟏

Korea telah meluncurkan sebuah aplikasi bernama CP831, app ini adalah aplikasi dating dengan fitur dan model canggih. Tapi ada satu hal yang mereka tak bisa rubah, Takdir.”"
https://twitter.com/ujiiiiiiii2/status/1408438573741666310,"“Minyoon au — 𝐓𝐚𝐭𝐭𝐨𝐨
Short Au

Yoongi awalnya hanya penasaran dengan tattoo yang baru saja Jimin buat bersama dengan Taehyung. Tapi malah berujung dirinya yang dibuat panas oleh Jimin.”"
https://twitter.com/ujiiiiiiii2/status/1408475147267297285,"“Minyoon short Au - 𝐉𝐞𝐫𝐮𝐤 𝐩𝐞𝐫𝐚𝐬

Tentang kisah mereka dengan dua cangkir jeruk peras yang asam manis.”"
