Year,Month,Day,Weekday,Start Time,Event Name,Venue
2014,09,27,土,12:50,「翠星のガルガンティア～めぐる航路、遥か」前編 舞台挨拶 横浜ブルク13 12:50の回上映終了後,横浜ブルク13
2014,09,27,土,18:50,「翠星のガルガンティア～めぐる航路、遥か」前編 舞台挨拶 京成ローザ⑩ 18:50の回上映開始前,京成ローザ10
2014,09,27,土,14:55,「翠星のガルガンティア～めぐる航路、遥か」前編 舞台挨拶 横浜ブルク13 14:55の回上映開始前,横浜ブルク13
2014,09,27,土,16:35,「翠星のガルガンティア～めぐる航路、遥か」前編 舞台挨拶 京成ローザ⑩ 16:35の回上映終了後,京成ローザ10
2014,09,23,火,11:15,「天体のメソッド」先行上映会 1回目,ユナイテッド・シネマ豊洲
2014,09,23,火,13:30,「天体のメソッド」先行上映会 2回目,ユナイテッド・シネマ豊洲
2014,09,23,火,18:30,「普通の女子校生が【ろこどる】やってみた。」スペシャルイベント 〜ろこどる課外活動報告会〜,南青山Future SEVEN
2014,09,20,土,16:00,東京ゲームショウ2014 セガスタジオMAGES.『CHAOS;CHILD』ステージ,幕張メッセ 国際展示場ホール
2014,09,07,日,14:30,ご注文はうさぎですか？ スペシャルイベント ～Rabbit House Tea Party 2014～ 第1部,AiiA 2.5 Theater Tokyo(閉館)
2014,09,07,日,18:00,ご注文はうさぎですか？ スペシャルイベント ～Rabbit House Tea Party 2014～ 第2部,AiiA 2.5 Theater Tokyo(閉館)
2014,08,27,水,19:30,ごちうさブレンド購入者対象イベント,秋葉原UDX4F 東京アニメセンター(閉館)
2014,08,17,日,18:30,Project*ω* 詠巫女たちのSummer Party 第2部,AKIBAカルチャーズ劇場
2014,08,17,日,14:00,Project*ω* 詠巫女たちのSummer Party 第1部,AKIBAカルチャーズ劇場
2014,08,16,土,18:00,ご注文はトークですか？ in かおす屋2014,秋葉原ラジオ会館10Fイベントスペース
2014,08,09,土,14:00,TBSアニメフェスタ2014,文京シビックホール 大ホール
2014,07,27,日,13:40,ワンダーフェスティバル2014[夏] 『「翠星のガルガンティア～めぐる航路、遥か～」ステージ』,幕張メッセ 国際展示場ホール
2014,07,27,日,16:30,～「翠星のガルガンティア ONLINE FLEET」サービスイン間近～「翠星のガルガンティア」上映イベント,イオンシネマ幕張新都心
2014,07,26,土,16:00,Inori Minase Mini Talk Live @Creative Paradise,香港會議展覽中心(HKCEC)
2014,07,20,日,14:00,「水瀬いのりのげ〜みゅ♪研究所！」公開録音 in 大阪 第1部,グランフロント大阪 北館2F アクティブスタジオ
2014,07,20,日,16:00,「水瀬いのりのげ〜みゅ♪研究所！」公開録音 in 大阪 第2部,グランフロント大阪 北館2F アクティブスタジオ
2014,07,04,金,22:30,「ご注文はうさぎですか？」オールナイト一挙上映イベント「ご注文は一挙上映ですか？」,シネマート新宿
2014,07,04,金,19:00,アニトーク！七夕祭り！！,[2代目]赤坂BLITZ(マイナビBLITZ赤坂)(閉館)
2014,06,29,日,14:00,『普通の女子校生が【ろこどる】やってみた。』放送直前イベント〜初夏の流川祭り〜,科学技術館サイエンスホール
2014,06,25,水,21:00,「ご注文はうさぎですか？」最終第12羽最速上映イベント「ご注文は最速上映ですか？」,シネマート新宿
2014,06,25,水,19:00,｢ご注文はうさぎですか？」キャラクターソング同時購入者対象イベント,秋葉原UDX4F 東京アニメセンター(閉館)
2014,06,22,日,18:00,まんがタイムきららフェスタ！ 夜公演,TOKYO DOME CITY HALL(東京ドームシティホール)
2014,06,22,日,14:00,まんがタイムきららフェスタ！ 昼公演,TOKYO DOME CITY HALL(東京ドームシティホール)
2014,06,08,日,09:40,『ロボットガールズZ』劇場上映 舞台挨拶 なんばパークスシネマ,なんばパークスシネマ
2014,06,08,日,11:20,『ロボットガールズZ』劇場上映 舞台挨拶 梅田ブルク7,T・ジョイ梅田(旧 梅田ブルク7)
2014,06,08,日,14:50,『ロボットガールズZ』劇場上映 舞台挨拶 109シネマズ名古屋,109シネマズ名古屋
2014,05,31,土,15:30,『ロボットガールズZ』劇場上映 舞台挨拶 新宿バルト9 【1回目】,新宿バルト9
2014,05,31,土,18:00,『ロボットガールズZ』劇場上映 舞台挨拶 T・ジョイ大泉,T・ジョイSEIBU大泉
2014,05,31,土,18:00,『ロボットガールズZ』劇場上映 舞台挨拶 新宿バルト9 【2回目】,新宿バルト9
2014,05,25,日,20:30,「ご注文はうさぎですか？｣OP&ED発売記念イベント2回目,秋葉原UDX4F 東京アニメセンター(閉館)
